id,causal_linkage_tier,causal_tier,expression_trend,expression_log2fc,therapeutic_alignment,therapeutic_recommendation,systemic_toxicity_risk,strategy_type,perturbation_ace,essentiality_tag,evidence_count,pathways,cell_types_active_in,regulating_snps,paracrine_targets,has_disease_link,has_pathway_link,eqtl_causal_direction,mean_eQTL_Z,max_eQTL_Z,mean_GWAS_Z,mean_GWAS_pval,min_GWAS_pval,n_snps_used,n_eQTL_variants,Evidence_Strength,Gene_Genetic_Confidence_Score,OR,CI_low,CI_high,mr_beta,mr_se,mr_pval,mr_direction,confidence_tier,method,is_gwas_hit,genetic_confidence_score,in_mr_risk,in_mr_protective,in_mr_any,in_eqtl,in_gwas
STN1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs12765878,,Yes,No,Risk,8.662392703,8.662392703,1.482531231,0.138199,0.138199,1,1,Low,0.052628555,1.235611336,0.934131948,1.634389421,0.211565856,0.142705834,0.138199,Higher expression -> higher risk,Not_significant,Wald ratio,TRUE,0.052628555,FALSE,FALSE,TRUE,TRUE,TRUE
TMEM258,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs108499,,Yes,No,Protective,6.713643225,6.713643225,-2.081528043,0.0373856,0.0373856,1,1,Low,0.052409276,0.617907968,0.392694038,0.972284324,-0.481415752,0.231279974,0.0373856,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.052409276,FALSE,FALSE,TRUE,TRUE,FALSE
PIGL,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs12946717,,Yes,No,Protective,-6.689958815,-6.689958815,2.06216321,0.0391922,0.0391922,1,1,Low,0.051804767,1.778547097,1.028936753,3.074270374,0.575796794,0.279219797,0.0391922,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.051804767,FALSE,FALSE,TRUE,TRUE,FALSE
HK2,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs10153633,,Yes,No,Risk,6.804572214,6.804572214,2.024466261,0.0429222,0.0429222,1,1,Low,0.051796607,2.081949065,1.023625814,4.234469129,0.733304505,0.362221154,0.0429222,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.051796607,FALSE,FALSE,TRUE,TRUE,FALSE
NEDD4,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs5007873,,Yes,No,Risk,7.374854734,7.374854734,1.836040953,0.0663516,0.0663516,1,1,Low,0.051667278,1.66892427,0.966011604,2.883307205,0.512179269,0.278958521,0.0663516,Higher expression -> higher risk,Not_significant,Wald ratio,FALSE,0.051667278,FALSE,FALSE,TRUE,TRUE,FALSE
IL10,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.094,Reversal,Context-Dependent,Low,Unknown,-0.0035,Moderate dependency,2,African trypanosomiasis | C-type lectin receptor signaling pathway | Cytokine Signaling in Immune system | Cytokine-cytokine receptor interaction | Defense response | Defense response to bacterium | Defense response to other organism | Extrafollicular and follicular B cell activation by SARS-CoV-2 | Gland development | Inflammatory response to antigenic stimulus | Interleukin-10 signaling | Interleukin-4 and Interleukin-13 signaling | JAK-STAT signaling pathway | Mononuclear cell differentiation | Negative regulation of cell population proliferation | Negative regulation of cytokine production | Network map of SARS-CoV-2 signaling pathway | Positive regulation of cytokine production | Positive regulation of immune effector process | Positive regulation of immune response | Regulation of T cell proliferation | Regulation of adaptive immune response | Regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains | Regulation of binding | Regulation of cytokine production | Regulation of defense response | Regulation of inflammatory response to antigenic stimulus | Regulation of interferon-alpha production | Regulation of interleukin-12 production | Regulation of leukocyte mediated immunity | Regulation of lymphocyte mediated immunity | Regulation of response to external stimulus | Regulation of type I interferon production | Response to biotic stimulus | Response to other organism | Signaling by Interleukins | Tuberculosis | miRNA role in immune response in sepsis,,rs1518111,,Yes,Yes,Protective,10.14357758,10.14357758,-1.012690535,0.311208,0.311208,1,1,Low,0.051600839,1.131649615,0.890749853,1.437699762,0.123676405,0.122126553,0.311208,Higher expression -> higher risk,Not_significant,Wald ratio,TRUE,0.051600839,FALSE,FALSE,TRUE,TRUE,TRUE
TYSND1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs147890007,,Yes,No,Risk,-5.61828184,-5.61828184,-2.410854413,0.0159152,0.0159152,1,1,Low,0.051573161,2.069898256,1.145738987,3.739489395,0.727499455,0.301760011,0.0159152,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.051573161,FALSE,FALSE,TRUE,TRUE,FALSE
CCNA1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.164,Aggravating,Context-Dependent,Low,Unknown,0.0181,Weak/Contextual,1,TP53 Regulates Transcription of Cell Cycle Genes | TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,,rs4941839,,Yes,Yes,Risk,-12.91105045,-12.91105045,-0.286210372,0.774717,0.774717,1,1,Low,0.05155161,0.969055752,0.781382355,1.201804781,-0.031433134,0.109825278,0.774717,Higher expression -> lower risk (protective),Not_significant,Wald ratio,FALSE,0.05155161,FALSE,FALSE,TRUE,TRUE,FALSE
PARP1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs1136410,,Yes,No,Risk,-6.789120083,-6.789120083,-2.018063965,0.0435846,0.0435846,1,1,Low,0.051541295,2.128925217,1.021978757,4.434850088,0.755617259,0.374426813,0.0435846,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.051541295,FALSE,FALSE,TRUE,TRUE,FALSE
TMEM119,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.061,Reversal,Activate,Low,Agonist / Stabilizer,-0.126,Moderate dependency,2,,,rs7300972,,Yes,No,Risk,12.71980113,12.71980113,0.323347612,0.746432,0.746432,1,1,Low,0.051290932,1.071897259,0.703683109,1.632785723,0.069430217,0.214723149,0.746432,Higher expression -> higher risk,Not_significant,Wald ratio,FALSE,0.051290932,FALSE,FALSE,TRUE,TRUE,FALSE
EPS15L1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs9305079,,Yes,No,Protective,-7.571293023,-7.571293023,1.756869825,0.07894,0.07894,1,1,Low,0.051270995,1.648981803,0.943811777,2.881020402,0.500158008,0.284687005,0.07894,Higher expression -> higher risk,Not_significant,Wald ratio,TRUE,0.051270995,FALSE,FALSE,TRUE,TRUE,TRUE
TMEM268,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs111320077,,Yes,No,Risk,-6.592419707,-6.592419707,-2.068022579,0.0386379,0.0386379,1,1,Low,0.051224757,1.71703923,1.02864064,2.866135755,0.54060143,0.26140983,0.0386379,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.051224757,FALSE,FALSE,TRUE,TRUE,FALSE
ITPKB-IT1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs2173567,,Yes,No,Risk,6.260118443,6.260118443,2.157667404,0.0309537,0.0309537,1,1,Low,0.050781664,1.395898995,1.031027642,1.889895019,0.333538649,0.154582976,0.0309537,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.050781664,FALSE,FALSE,TRUE,TRUE,FALSE
GNG2,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,natural.killer.cell,rs8005426,,Yes,No,Protective,-5.591277412,-5.591277412,2.361931522,0.01818,0.01818,1,1,Low,0.05030959,1.804996843,1.105719005,2.946511353,0.590558843,0.250032161,0.01818,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.05030959,FALSE,FALSE,TRUE,TRUE,FALSE
P2RY6,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs7127705,,Yes,No,Risk,5.781671931,5.781671931,2.296099376,0.0216702,0.0216702,1,1,Low,0.050291384,1.371877129,1.047369645,1.79692706,0.316179969,0.137703086,0.0216702,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.050291384,FALSE,FALSE,TRUE,TRUE,FALSE
COX4I1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs301157,,Yes,No,Protective,-6.613698499,-6.613698499,2.01827816,0.0435623,0.0435623,1,1,Low,0.050272694,2.254766906,1.023754624,4.966008145,0.8130466,0.402841698,0.0435623,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.050272694,FALSE,FALSE,TRUE,TRUE,FALSE
ST3GAL4,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs534804,,Yes,No,Risk,5.783972317,5.783972317,2.288553642,0.0221053,0.0221053,1,1,Low,0.05014387,2.076851952,1.110626345,3.883677038,0.730853263,0.319351598,0.0221053,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.05014387,FALSE,FALSE,TRUE,TRUE,FALSE
CD83,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs76627429,,Yes,No,Protective,-5.66232762,-5.66232762,2.328301495,0.0198961,0.0198961,1,1,Low,0.050107322,0.472025595,0.250902352,0.888027394,-0.750722069,0.322433358,0.0198961,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.050107322,FALSE,FALSE,TRUE,TRUE,FALSE
NUP210,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs513951,,Yes,No,Risk,6.470929659,6.470929659,2.034279727,0.0419234,0.0419234,1,1,Low,0.049591226,2.432363502,1.032988415,5.727452621,0.888863419,0.436942573,0.0419234,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.049591226,FALSE,FALSE,TRUE,TRUE,FALSE
PARP14,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.212,Reversal,Context-Dependent,Low,Unknown,-0.0518,Moderate dependency,1,Biological process involved in interspecies interaction between organisms | Defense response | Defense response to other organism | Immune response | Immune system process | Innate immune response | Regulation of defense response | Regulation of immune response | Regulation of innate immune response | Regulation of response to biotic stimulus | Regulation of response to external stimulus | Regulation of response to stress | Response to biotic stimulus | Response to external stimulus | Response to other organism | Response to stress,,rs6783483,,Yes,Yes,Risk,-11.70294984,-11.70294984,-0.511202883,0.609209,0.609209,1,1,Low,0.049536226,1.091228563,0.780806219,1.525064413,0.087304184,0.170781869,0.609209,Higher expression -> higher risk,Not_significant,Wald ratio,FALSE,0.049536226,FALSE,FALSE,TRUE,TRUE,FALSE
ZSCAN30,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs9304144,,Yes,No,Risk,5.726640946,5.726640946,2.262960895,0.0236381,0.0236381,1,1,Low,0.049162004,0.512836843,0.287598003,0.914476543,-0.66779753,0.295099014,0.0236381,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.049162004,FALSE,FALSE,TRUE,TRUE,FALSE
SH3PXD2A,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs2073338,,Yes,No,Risk,-5.828862981,-5.828862981,-2.222682748,0.0262372,0.0262372,1,1,Low,0.049038169,1.640052442,1.060211418,2.537014756,0.494728218,0.222581571,0.0262372,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.049038169,FALSE,FALSE,TRUE,TRUE,FALSE
BAIAP2L1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs6948346,,Yes,No,Protective,-5.789922049,-5.789922049,2.220245607,0.0264021,0.0264021,1,1,Low,0.048698045,1.349543625,1.035761664,1.758385216,0.29976648,0.135015009,0.0264021,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.048698045,FALSE,FALSE,TRUE,TRUE,FALSE
HTRA3,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.291,Aggravating,Context-Dependent,Low,Unknown,0.0021,Moderate dependency,1,,,rs7697431,,Yes,No,Protective,-11.99224039,-11.99224039,0.384896634,0.700314,0.700314,1,1,Low,0.048223365,1.04049249,0.850067581,1.273574767,0.039694149,0.103129375,0.700314,Higher expression -> higher risk,Not_significant,Wald ratio,FALSE,0.048223365,FALSE,FALSE,TRUE,TRUE,FALSE
ACO1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.407,Aggravating,Context-Dependent,Low,Unknown,0.0843,Weak/Contextual,1,Post-embryonic development,,rs913762,,Yes,Yes,Risk,6.1555293,6.1555293,2.071226867,0.0383376,0.0383376,1,1,Low,0.048112157,0.595307185,0.364400417,0.972530841,-0.51867773,0.25042053,0.0383376,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.048112157,FALSE,FALSE,TRUE,TRUE,FALSE
SNX18,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs6889329,,Yes,No,Protective,-6.445336587,-6.445336587,1.97562028,0.0481978,0.0481978,1,1,Low,0.048105045,1.798245436,1.004650416,3.218718269,0.586811432,0.297026426,0.0481978,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.048105045,FALSE,FALSE,TRUE,TRUE,FALSE
LINC01531,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.254,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs11084813,,Yes,No,Protective,10.05272376,10.05272376,-0.885895205,0.375674,0.375674,1,1,Low,0.047933427,0.894925616,0.700031995,1.144078933,-0.111014675,0.125313552,0.375674,Higher expression -> lower risk (protective),Not_significant,Wald ratio,FALSE,0.047933427,FALSE,FALSE,TRUE,TRUE,FALSE
PDE9A,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.061,Aggravating,Context-Dependent,Low,Unknown,0.0217,Weak/Contextual,1,,,rs2839581,,Yes,No,Protective,-11.33509737,-11.33509737,0.541463717,0.588188,0.588188,1,1,Low,0.047915669,1.055421777,0.86821646,1.282992408,0.053940475,0.099619741,0.588188,Higher expression -> higher risk,Not_significant,Wald ratio,FALSE,0.047915669,FALSE,FALSE,TRUE,TRUE,FALSE
SEMA6C,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs11807847,,Yes,No,Protective,5.707194546,5.707194546,-2.208408641,0.0272158,0.0272158,1,1,Low,0.047830859,0.598117289,0.379036012,0.943826655,-0.513968409,0.232732475,0.0272158,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.047830859,FALSE,FALSE,TRUE,TRUE,FALSE
TNFSF13B,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.064,Reversal,Context-Dependent,Low,Unknown,-0.0146,Weak/Contextual,1,,,rs73609091,,Yes,No,Protective,-12.24944432,-12.24944432,0.302251956,0.76246,0.76246,1,1,Low,0.047773109,0.926709175,0.565696104,1.518111737,-0.076115489,0.251827946,0.76246,Higher expression -> lower risk (protective),Not_significant,Wald ratio,FALSE,0.047773109,FALSE,FALSE,TRUE,TRUE,FALSE
NUP62,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs1152237,,Yes,No,Risk,-5.51932353,-5.51932353,-2.267290261,0.0233725,0.0233725,1,1,Low,0.04772351,0.424899099,0.202745287,0.890473198,-0.855903553,0.377500653,0.0233725,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.04772351,FALSE,FALSE,TRUE,TRUE,FALSE
BPI,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.17,Aggravating,Context-Dependent,Low,Unknown,0.0458,Weak/Contextual,1,Antibacterial humoral response | Antimicrobial humoral immune response mediated by antimicrobial peptide | Antimicrobial humoral response | Antimicrobial peptides | Defense response to Gram-negative bacterium | Innate Immune System | Neutrophil degranulation,,rs142680289,,Yes,Yes,Risk,-9.377345748,-9.377345748,-1.061437769,0.288491,0.288491,1,1,Low,0.047612086,1.200374052,0.856750521,1.681817318,0.182633218,0.172062106,0.288491,Higher expression -> higher risk,Not_significant,Wald ratio,FALSE,0.047612086,FALSE,FALSE,TRUE,TRUE,FALSE
FAM167B,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs72668508,,Yes,No,Risk,6.04164806,6.04164806,2.071984358,0.0382669,0.0382669,1,1,Low,0.047298862,1.469505014,1.021021954,2.114983893,0.384925619,0.185776315,0.0382669,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.047298862,FALSE,FALSE,TRUE,TRUE,FALSE
SH3BGRL3,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs7550127,,Yes,No,Risk,-6.2175295,-6.2175295,-1.9983438,0.0456794,0.0456794,1,1,Low,0.046957504,2.205235372,1.015290076,4.789826239,0.790834248,0.39574484,0.0456794,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.046957504,FALSE,FALSE,TRUE,TRUE,FALSE
ARL4D,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs75467880,,Yes,No,Protective,-6.208648336,-6.208648336,1.995364865,0.0460031,0.0460031,1,1,Low,0.046827484,0.76409481,0.586631718,0.995242605,-0.2690634,0.134844211,0.0460031,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.046827484,FALSE,FALSE,TRUE,TRUE,FALSE
P2RX6,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs4820728,,Yes,No,Protective,-5.678195326,-5.678195326,2.170090378,0.03,0.03,1,1,Low,0.046783919,0.745386018,0.571633256,0.971952401,-0.29385305,0.135410512,0.03,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.046783919,FALSE,FALSE,TRUE,TRUE,FALSE
AIF1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs2736182,,Yes,No,Risk,-8.045441854,-8.045441854,-1.405677201,0.15982,0.15982,1,1,Low,0.046558628,1.690823574,0.812924873,3.516787901,0.525215732,0.373638935,0.15982,Higher expression -> higher risk,Not_significant,Wald ratio,TRUE,0.046558628,FALSE,FALSE,TRUE,TRUE,TRUE
CCDC115,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs55684765,,Yes,No,Protective,5.611433788,5.611433788,-2.180053447,0.0292535,0.0292535,1,1,Low,0.046510175,0.557259775,0.329418658,0.942686304,-0.584723765,0.268215335,0.0292535,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.046510175,FALSE,FALSE,TRUE,TRUE,FALSE
TIMM10,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.613,Reversal,Activate (WARNING: High systemic toxicity risk),High,Agonist / Stabilizer,-1.3904,Core essential,2,,,rs2511992,,Yes,No,Protective,-12.35916879,-12.35916879,0.221468065,0.824728,0.824728,1,1,Low,0.046419669,1.029497325,0.795960596,1.331554285,0.029070649,0.131263391,0.824728,Higher expression -> higher risk,Not_significant,Wald ratio,FALSE,0.046419669,FALSE,FALSE,TRUE,TRUE,FALSE
RESF1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Negative regulation of viral genome replication,,rs1900664,,Yes,Yes,Protective,-5.742756444,-5.742756444,2.105707131,0.0352298,0.0352298,1,1,Low,0.045855219,2.050518375,1.050944569,4.000806256,0.718092627,0.341022081,0.0352298,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.045855219,FALSE,FALSE,TRUE,TRUE,FALSE
IKZF1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs7781977,,Yes,No,Risk,-6.866754113,-6.866754113,-1.73848722,0.082125,0.082125,1,1,Low,0.04584448,1.551739971,0.945554198,2.546545657,0.439376863,0.25273517,0.082125,Higher expression -> higher risk,Not_significant,Wald ratio,TRUE,0.04584448,FALSE,FALSE,TRUE,TRUE,TRUE
IFIT5,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.744,Reversal,Context-Dependent,Low,Unknown,-0.0081,Weak/Contextual,1,Biological process involved in interspecies interaction between organisms | Cytokine Signaling in Immune system | Defense response | Defense response to other organism | Defense response to virus | Immune System | Immune response | Immune system process | Innate immune response | Interferon Signaling | Interferon alpha/beta signaling | Negative regulation of biological process | Negative regulation of viral genome replication | Positive regulation of cell communication | Positive regulation of signaling | Regulation of response to stimulus | Regulation of signal transduction | Regulation of viral life cycle | Response to biotic stimulus | Response to external stimulus | Response to other organism | Response to stress | Response to virus,,rs303212,,Yes,Yes,Protective,-12.05921116,-12.05921116,0.261737276,0.793524,0.793524,1,1,Low,0.045547618,0.96108882,0.713985637,1.293711907,-0.039688449,0.151634685,0.793524,Higher expression -> lower risk (protective),Not_significant,Wald ratio,FALSE,0.045547618,FALSE,FALSE,TRUE,TRUE,FALSE
KY,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs9857242,,Yes,No,Protective,5.596546057,5.596546057,-2.102250936,0.0355313,0.0355313,1,1,Low,0.044711954,1.564508008,1.030748639,2.374667514,0.447571403,0.212901036,0.0355313,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.044711954,FALSE,FALSE,TRUE,TRUE,FALSE
ZNF239,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs2999244,,Yes,No,Risk,5.827177584,5.827177584,2.022659162,0.0431083,0.0431083,1,1,Low,0.044658968,0.750368896,0.568085179,0.991142703,-0.287190332,0.141986518,0.0431083,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.044658968,FALSE,FALSE,TRUE,TRUE,FALSE
ADAT2,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs9484748,,Yes,No,Risk,5.614443293,5.614443293,2.085446386,0.0370288,0.0370288,1,1,Low,0.044477745,2.032613542,1.043591419,3.958941913,0.709322424,0.340129782,0.0370288,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.044477745,FALSE,FALSE,TRUE,TRUE,FALSE
MIR6753,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs4147778,,Yes,No,Protective,5.602222129,5.602222129,-2.080687707,0.0374625,0.0374625,1,1,Low,0.044285278,1.642066532,1.029185059,2.619919977,0.495955529,0.238361349,0.0374625,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.044285278,FALSE,FALSE,TRUE,TRUE,FALSE
OTULINL,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs32635,,Yes,No,Risk,5.629532765,5.629532765,2.050563233,0.0403095,0.0403095,1,1,Low,0.043830001,2.377264811,1.038985497,5.439332886,0.865950588,0.422298895,0.0403095,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.043830001,FALSE,FALSE,TRUE,TRUE,FALSE
ARHGAP12,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs1616121,,Yes,No,Risk,-5.8798498,-5.8798498,-1.962261905,0.049732,0.049732,1,1,Low,0.043721172,0.593744458,0.352744385,0.999399269,-0.521306258,0.265665993,0.049732,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.043721172,FALSE,FALSE,TRUE,TRUE,FALSE
LINC01093,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.18,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs60523366,,Yes,No,Risk,-11.31814927,-11.31814927,-0.353080622,0.724028,0.724028,1,1,Low,0.043135365,1.045221292,0.817674723,1.336090647,0.044228625,0.125264947,0.724028,Higher expression -> higher risk,Not_significant,Wald ratio,FALSE,0.043135365,FALSE,FALSE,TRUE,TRUE,FALSE
RIF1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs62168614,,Yes,No,Risk,-5.672146819,-5.672146819,-1.991071747,0.046473,0.046473,1,1,Low,0.042846277,1.943000517,1.010419631,3.736319934,0.664233436,0.333605977,0.046473,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.042846277,FALSE,FALSE,TRUE,TRUE,FALSE
LINC01094,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs72607863,,Yes,No,Risk,-11.52836738,-11.52836738,-0.259219353,0.795466,0.795466,1,1,Low,0.042134616,1.032025978,0.813155375,1.309808251,0.031523839,0.12161067,0.795466,Higher expression -> higher risk,Not_significant,Wald ratio,TRUE,0.042134616,FALSE,FALSE,TRUE,TRUE,TRUE
LLCFC1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.299,Reversal,Context-Dependent,Low,Unknown,-0.022,Moderate dependency,1,,,rs4252424,,Yes,No,Protective,-11.30867628,-11.30867628,0.31333258,0.754028,0.754028,1,1,Low,0.042089799,0.96670663,0.782182535,1.194761667,-0.033860211,0.108064762,0.754028,Higher expression -> lower risk (protective),Not_significant,Wald ratio,FALSE,0.042089799,FALSE,FALSE,TRUE,TRUE,FALSE
PID1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs4972894,,Yes,No,Protective,-5.6038644,-5.6038644,1.969317873,0.0489166,0.0489166,1,1,Low,0.041879322,0.621751473,0.387445082,0.997754036,-0.475214826,0.241309355,0.0489166,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.041879322,FALSE,FALSE,TRUE,TRUE,FALSE
